Company,Item Description (Raw),Item Code / Legacy Ref,Quantity,UOM,Part Number / OEM Number,Make / Brand,Specifications / Dimensions
GAIL,BULL DOZER TRACK CHAIN ASSEMBLY 39 LINKS,MAT6788340,3938,ROLL,PN-2514-X,ESCO,Standard specification as per IS/ISO. Dimension: 293mm. Material: SS304.
BHEL,m.s. hex bolt & nut m16x65mm long is:1363,MAT4229539,216,ROLL,PN-5397-X,PHILIPS,Standard specification as per IS/ISO. Dimension: 270mm. Material: SS304.
BHEL,BALL  VALVE  1  INCH  SS316  1000  WOG  PTFE  SEAT **OEM ONLY**,MAT5678897,3926,MT,PN-5704-B,PHILIPS,Standard specification as per IS/ISO. Dimension: 182mm. Material: Rubber.
NTPC,MCB 4 POLE 63 AMP C CURVE 10KA,MAT7585531,2453,SET,PN-7352-X,SIEMENS,Standard specification as per IS/ISO. Dimension: 285mm. Material: Alloy Steel.
Coal India (Central Coalfields Limited),submersible pump 5hp 3 phase 415v,MAT9833764,3711,MTR,N/A,ESCO,Standard specification as per IS/ISO. Dimension: 297mm. Material: SS304.
Coal India (BCCL),bearing  ball  radial  6205  2rs  skf/fag  make  only **OEM ONLY**,MAT7041382,423,SET,PN-9163-Y,FENNER,Standard specification as per IS/ISO. Dimension: 119mm. Material: Brass.
IOCL,industrial heater 2kw 230v tubular type,MAT7578799,1136,MT,N/A,ABB,Standard specification as per IS/ISO. Dimension: 100mm. Material: SS304.
Coal India (BCCL),HYDRAULIC  HOSE  1  INCH  R2  10  METERS  WITH  FITTINGS   REQ AS PER ATTACHED SPEC,MAT8761350,2269,LTR,PN-7819-Z,UNBRAKO,Standard specification as per IS/ISO. Dimension: 231mm. Material: Alloy Steel.
BHEL,pressure  gauge  0-100  kg/cm2  150mm  dial  bottom  entry - URGENT REQ,MAT5272777,3889,MTR,PN-5651-Y,CUMMINS,Standard specification as per IS/ISO. Dimension: 143mm. Material: SS316.
HEC,INDUSTRIAL  HEATER  2KW  230V  TUBULAR  TYPE   REQ AS PER ATTACHED SPEC,MAT6958697,1474,ROLL,PN-3148-Z,CUMMINS,Standard specification as per IS/ISO. Dimension: 265mm. Material: Alloy Steel.
Coal India (Central Coalfields Limited),oxygen  gas  cylinder  refill  industrial  grade **OEM ONLY**,MAT8765120,194,BTL,PN-4802-Y,SIEMENS,Standard specification as per IS/ISO. Dimension: 265mm. Material: SS316.
ONGC,transformer oil ehv grade in 209 ltr barrel,MAT2049092,2125,MT,N/A,KOMATSU,Standard specification as per IS/ISO. Dimension: 200mm. Material: SS304.
BHEL,o-ring  p/n  87654321  for  komatsu  dumper  hemm  spare   REQ AS PER ATTACHED SPEC,MAT1893523,3623,MTR,N/A,ESCO,Standard specification as per IS/ISO. Dimension: 103mm. Material: MS.
BHEL,pressure  gauge  0-100  kg/cm2  150mm  dial  bottom  entry **OEM ONLY**,MAT7248430,3065,NOS,PN-5828-B,ESCO,Standard specification as per IS/ISO. Dimension: 132mm. Material: Rubber.
Coal India (Central Coalfields Limited),ss  tube  1/2  inch  od  x  1.2mm  thk  astm  a213 - URGENT REQ,MAT9287864,3018,NOS,PN-1981-X,FAG,Standard specification as per IS/ISO. Dimension: 110mm. Material: SS316.
GAIL,wire  rope  16mm  dia  6x36  fmc  rhrl  ungalvanized   REQ AS PER ATTACHED SPEC,MAT1000670,1616,MTR,N/A,BOSCH,Standard specification as per IS/ISO. Dimension: 298mm. Material: Brass.
GAIL,led flood light 200w ip66 6500k cg/philips,MAT1843170,3491,BTL,PN-8674-Y,PIX,Standard specification as per IS/ISO. Dimension: 134mm. Material: Alloy Steel.
GAIL,o-ring p/n 87654321 for komatsu dumper hemm spare,MAT8386889,4736,ROLL,PN-5544-A,SIEMENS,Standard specification as per IS/ISO. Dimension: 128mm. Material: Brass.
Coal India (Central Coalfields Limited),ROLLER  BEARING  SPHERICAL  22316  EK  C3   REQ AS PER ATTACHED SPEC,MAT5335981,2644,KGS,PN-7646-X,ABB,Standard specification as per IS/ISO. Dimension: 53mm. Material: Brass.
HEC,ss tube 1/2 inch od x 1.2mm thk astm a213,MAT9512672,3303,BTL,PN-6267-A,CG,Standard specification as per IS/ISO. Dimension: 161mm. Material: MS.
BHEL,TRANSFORMER OIL EHV GRADE IN 209 LTR BARREL,MAT8538144,1656,MT,PN-2550-Z,ABB,Standard specification as per IS/ISO. Dimension: 40mm. Material: Alloy Steel.
GAIL,OXYGEN  GAS  CYLINDER  REFILL  INDUSTRIAL  GRADE **OEM ONLY**,MAT3056450,2760,NOS,PN-8457-X,FENNER,Standard specification as per IS/ISO. Dimension: 65mm. Material: SS304.
ONGC,ss tube 1/2 inch od x 1.2mm thk astm a213,MAT9479894,3927,ROLL,PN-7102-X,OEM,Standard specification as per IS/ISO. Dimension: 100mm. Material: SS304.
IOCL,roller bearing spherical 22316 ek c3,MAT2210030,2629,LTR,N/A,KOMATSU,Standard specification as per IS/ISO. Dimension: 24mm. Material: SS316.
IOCL,pressure gauge 0-100 kg/cm2 150mm dial bottom entry,MAT3542329,2598,NOS,PN-4164-Z,CG,Standard specification as per IS/ISO. Dimension: 159mm. Material: MS.
BHEL,filter lube oil for cummins engine kta19,MAT7004858,816,PAIR,PN-9705-Z,ABB,Standard specification as per IS/ISO. Dimension: 130mm. Material: SS316.
IOCL,diesel  exhaust  fluid  def  aus  32 (BOQ1 REF),MAT2575185,265,LTR,PN-5560-X,PIX,Standard specification as per IS/ISO. Dimension: 218mm. Material: Alloy Steel.
BHEL,M.S. HEX BOLT & NUT M16X65MM LONG IS:1363,MAT8669329,4933,NOS,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 167mm. Material: SS316.
Coal India (Central Coalfields Limited),DIESEL EXHAUST FLUID DEF AUS 32,MAT7642872,480,ROLL,N/A,SIEMENS,Standard specification as per IS/ISO. Dimension: 35mm. Material: SS304.
GAIL,RUBBER CONVEYOR BELT 800MM WIDE EP 400/3,MAT7145600,3845,ROLL,PN-9576-Y,CUMMINS,Standard specification as per IS/ISO. Dimension: 149mm. Material: MS.
Coal India (BCCL),V BELT C-120 FENNER PIX ONLY FOR CRUSHER DRIVE,MAT6253180,4032,ROLL,PN-8240-B,FENNER,Standard specification as per IS/ISO. Dimension: 62mm. Material: MS.
BHEL,SAFETY  SHOE  MENS  BLACK  SIZE  9  LEATHER  CE  APPROVED   REQ AS PER ATTACHED SPEC,MAT1426347,900,MTR,PN-9600-B,CUMMINS,Standard specification as per IS/ISO. Dimension: 96mm. Material: MS.
GAIL,DIESEL  EXHAUST  FLUID  DEF  AUS  32   REQ AS PER ATTACHED SPEC,MAT4455163,2090,LTR,PN-3484-A,FENNER,Standard specification as per IS/ISO. Dimension: 276mm. Material: Alloy Steel.
HEC,MCB 4 POLE 63 AMP C CURVE 10KA,MAT5199261,467,LTR,PN-5322-Y,SIEMENS,Standard specification as per IS/ISO. Dimension: 156mm. Material: SS304.
BHEL,bull dozer track chain assembly 39 links,MAT9346269,2461,LTR,N/A,TVS,Standard specification as per IS/ISO. Dimension: 75mm. Material: Brass.
HEC,ss tube 1/2 inch od x 1.2mm thk astm a213,MAT4203794,1698,SET,PN-1429-B,SKF,Standard specification as per IS/ISO. Dimension: 92mm. Material: Brass.
HEC,led flood light 200w ip66 6500k cg/philips,MAT7780302,2640,SET,PN-6529-X,UNBRAKO,Standard specification as per IS/ISO. Dimension: 261mm. Material: SS316.
NTPC,diesel exhaust fluid def aus 32,MAT8698046,4469,PAIR,PN-7674-Y,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 90mm. Material: MS.
NTPC,SAFETY SHOE MENS BLACK SIZE 9 LEATHER CE APPROVED,MAT8269366,441,KGS,PN-5182-A,PHILIPS,Standard specification as per IS/ISO. Dimension: 139mm. Material: Brass.
HEC,SS TUBE 1/2 INCH OD X 1.2MM THK ASTM A213,MAT3852790,2270,LTR,PN-3270-Y,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 223mm. Material: MS.
HEC,FLANGE  GASKET  150#  100MM  NB  SPIRAL  WOUND  NON  ASBESTOS - URGENT REQ,MAT2744152,4013,NOS,PN-3462-Y,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 19mm. Material: Rubber.
GAIL,o-ring  p/n  87654321  for  komatsu  dumper  hemm  spare (BOQ1 REF),MAT3479705,3058,BTL,PN-5422-Z,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 61mm. Material: SS316.
GAIL,wire rope 16mm dia 6x36 fmc rhrl ungalvanized,MAT5084737,3284,MTR,PN-9278-B,ESCO,Standard specification as per IS/ISO. Dimension: 133mm. Material: Brass.
Coal India (BCCL),bearing ball radial 6205 2rs skf/fag make only,MAT8271594,4837,SET,PN-9247-Z,TVS,Standard specification as per IS/ISO. Dimension: 30mm. Material: Brass.
BHEL,m.s. hex bolt & nut m16x65mm long is:1363,MAT6326538,934,NOS,PN-5137-A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 137mm. Material: SS316.
Coal India (Central Coalfields Limited),bearing ball radial 6205 2rs skf/fag make only,MAT7007270,2773,MT,PN-1732-A,L&T,Standard specification as per IS/ISO. Dimension: 58mm. Material: MS.
NTPC,contactor  3  pole  400v  63a  l&t/siemens (BOQ1 REF),MAT5479967,2460,BTL,N/A,PHILIPS,Standard specification as per IS/ISO. Dimension: 141mm. Material: SS304.
Coal India (Central Coalfields Limited),ss tube 1/2 inch od x 1.2mm thk astm a213,MAT7331951,3531,ROLL,PN-4736-Z,ABB,Standard specification as per IS/ISO. Dimension: 166mm. Material: SS316.
IOCL,INDUSTRIAL  HEATER  2KW  230V  TUBULAR  TYPE (BOQ1 REF),MAT5059708,4111,ROLL,N/A,FENNER,Standard specification as per IS/ISO. Dimension: 202mm. Material: SS304.
NTPC,seal  kit  for  hydraulic  cylinder  beml  dozer **OEM ONLY**,MAT6806900,2005,PAIR,PN-7766-X,PHILIPS,Standard specification as per IS/ISO. Dimension: 48mm. Material: SS304.
Coal India (Central Coalfields Limited),SUBMERSIBLE PUMP 5HP 3 PHASE 415V,MAT4522286,3173,PAIR,PN-9825-Y,FENNER,Standard specification as per IS/ISO. Dimension: 14mm. Material: Brass.
IOCL,V  BELT  C-120  FENNER  PIX  ONLY  FOR  CRUSHER  DRIVE - URGENT REQ,MAT7021104,3908,LTR,PN-9083-X,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 151mm. Material: MS.
NTPC,M.S. HEX BOLT & NUT M16X65MM LONG IS:1363,MAT8144929,1230,SET,PN-7537-A,ESCO,Standard specification as per IS/ISO. Dimension: 239mm. Material: MS.
IOCL,SEAL KIT FOR HYDRAULIC CYLINDER BEML DOZER,MAT1823216,2603,BTL,N/A,FENNER,Standard specification as per IS/ISO. Dimension: 238mm. Material: MS.
Coal India (Central Coalfields Limited),TRANSFORMER OIL EHV GRADE IN 209 LTR BARREL,MAT8081406,3561,NOS,PN-6068-X,FENNER,Standard specification as per IS/ISO. Dimension: 254mm. Material: SS316.
IOCL,m.s. hex bolt & nut m16x65mm long is:1363,MAT6181374,1423,ROLL,PN-8836-X,PHILIPS,Standard specification as per IS/ISO. Dimension: 140mm. Material: SS316.
BHEL,pressure gauge 0-100 kg/cm2 150mm dial bottom entry,MAT9424560,3269,ROLL,PN-8071-A,PIX,Standard specification as per IS/ISO. Dimension: 132mm. Material: Rubber.
Coal India (Central Coalfields Limited),industrial heater 2kw 230v tubular type,MAT9774766,2697,LTR,PN-9171-B,OEM,Standard specification as per IS/ISO. Dimension: 58mm. Material: Alloy Steel.
IOCL,pressure gauge 0-100 kg/cm2 150mm dial bottom entry,MAT6336027,4795,ROLL,PN-2546-Z,ESCO,Standard specification as per IS/ISO. Dimension: 297mm. Material: Rubber.
GAIL,air  filter  element  outer  &  inner  for  beml  dumper **OEM ONLY**,MAT9041868,4292,MT,PN-1188-A,L&T,Standard specification as per IS/ISO. Dimension: 294mm. Material: MS.
IOCL,MCB  4  POLE  63  AMP  C  CURVE  10KA - URGENT REQ,MAT6236114,1155,MTR,N/A,BEML,Standard specification as per IS/ISO. Dimension: 287mm. Material: SS316.
IOCL,SEAL  KIT  FOR  HYDRAULIC  CYLINDER  BEML  DOZER (BOQ1 REF),MAT9594987,938,MTR,PN-6823-Z,OEM,Standard specification as per IS/ISO. Dimension: 235mm. Material: Rubber.
ONGC,INDUSTRIAL HEATER 2KW 230V TUBULAR TYPE,MAT9226162,1586,SET,PN-4677-X,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 196mm. Material: Alloy Steel.
HEC,hydraulic hose 1 inch r2 10 meters with fittings,MAT2313142,259,LTR,PN-8709-B,OEM,Standard specification as per IS/ISO. Dimension: 67mm. Material: Rubber.
IOCL,GATE VALVE 2 INCH 800# FORGED STEEL A105,MAT5533201,1149,ROLL,PN-6615-A,SIEMENS,Standard specification as per IS/ISO. Dimension: 99mm. Material: SS304.
Coal India (Central Coalfields Limited),diesel  exhaust  fluid  def  aus  32 (BOQ1 REF),MAT8346732,631,MTR,PN-8756-A,FENNER,Standard specification as per IS/ISO. Dimension: 130mm. Material: Alloy Steel.
NTPC,AIR FILTER ELEMENT OUTER & INNER FOR BEML DUMPER,MAT7427840,818,NOS,PN-6587-Z,TVS,Standard specification as per IS/ISO. Dimension: 38mm. Material: Brass.
IOCL,TAPER ROLLER BEARING 32218 J2/Q,MAT6582276,1801,BTL,PN-4078-X,OEM,Standard specification as per IS/ISO. Dimension: 40mm. Material: SS304.
HEC,ball valve 1 inch ss316 1000 wog ptfe seat,MAT6900013,2805,MT,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 104mm. Material: MS.
BHEL,SEAL KIT FOR HYDRAULIC CYLINDER BEML DOZER,MAT7773130,2567,ROLL,PN-4443-X,ABB,Standard specification as per IS/ISO. Dimension: 286mm. Material: Rubber.
GAIL,welding  electrode  e7018  3.15mm  x  450mm   REQ AS PER ATTACHED SPEC,MAT1799485,438,BTL,PN-6865-Y,CUMMINS,Standard specification as per IS/ISO. Dimension: 57mm. Material: Rubber.
HEC,CONTACTOR 3 POLE 400V 63A L&T/SIEMENS,MAT5271963,2517,SET,PN-7974-Y,UNBRAKO,Standard specification as per IS/ISO. Dimension: 99mm. Material: MS.
NTPC,oxygen  gas  cylinder  refill  industrial  grade - URGENT REQ,MAT1350751,1314,SET,PN-2516-A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 98mm. Material: Alloy Steel.
BHEL,hydraulic  hose  1  inch  r2  10  meters  with  fittings - URGENT REQ,MAT3819406,1053,MTR,N/A,PIX,Standard specification as per IS/ISO. Dimension: 251mm. Material: MS.
Coal India (Central Coalfields Limited),pressure gauge 0-100 kg/cm2 150mm dial bottom entry,MAT4640136,3568,KGS,PN-4268-X,SIEMENS,Standard specification as per IS/ISO. Dimension: 141mm. Material: SS304.
Coal India (Central Coalfields Limited),contactor  3  pole  400v  63a  l&t/siemens - URGENT REQ,MAT4101937,4149,ROLL,PN-8064-Z,ESCO,Standard specification as per IS/ISO. Dimension: 69mm. Material: Brass.
Coal India (BCCL),bull dozer track chain assembly 39 links,MAT2857637,2626,SET,PN-6441-Y,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 260mm. Material: MS.
NTPC,flange gasket 150# 100mm nb spiral wound non asbestos,MAT4729204,4632,BTL,PN-2925-A,CG,Standard specification as per IS/ISO. Dimension: 119mm. Material: SS304.
IOCL,GATE  VALVE  2  INCH  800#  FORGED  STEEL  A105 - URGENT REQ,MAT4408143,310,PAIR,PN-4305-Y,BOSCH,Standard specification as per IS/ISO. Dimension: 244mm. Material: MS.
Coal India (BCCL),O-RING  P/N  87654321  FOR  KOMATSU  DUMPER  HEMM  SPARE **OEM ONLY**,MAT8366399,3498,NOS,PN-5944-X,BEML,Standard specification as per IS/ISO. Dimension: 258mm. Material: Alloy Steel.
HEC,welding electrode e7018 3.15mm x 450mm,MAT3708556,4874,NOS,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 64mm. Material: SS304.
NTPC,pressure  gauge  0-100  kg/cm2  150mm  dial  bottom  entry - URGENT REQ,MAT4013895,1296,NOS,N/A,OEM,Standard specification as per IS/ISO. Dimension: 197mm. Material: Brass.
NTPC,BALL  VALVE  1  INCH  SS316  1000  WOG  PTFE  SEAT **OEM ONLY**,MAT3676413,3421,MT,PN-8936-B,L&T,Standard specification as per IS/ISO. Dimension: 183mm. Material: Rubber.
ONGC,filter lube oil for cummins engine kta19,MAT2046313,3517,PAIR,PN-4709-X,SIEMENS,Standard specification as per IS/ISO. Dimension: 43mm. Material: SS316.
HEC,ball  valve  1  inch  ss316  1000  wog  ptfe  seat **OEM ONLY**,MAT1394219,3061,LTR,N/A,KOMATSU,Standard specification as per IS/ISO. Dimension: 285mm. Material: SS304.
IOCL,DIESEL  EXHAUST  FLUID  DEF  AUS  32   REQ AS PER ATTACHED SPEC,MAT3633228,1052,LTR,PN-6791-B,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 287mm. Material: MS.
GAIL,BALL  VALVE  1  INCH  SS316  1000  WOG  PTFE  SEAT - URGENT REQ,MAT9318395,4160,NOS,PN-2895-Z,KOMATSU,Standard specification as per IS/ISO. Dimension: 260mm. Material: Alloy Steel.
Coal India (Central Coalfields Limited),hydraulic  hose  1  inch  r2  10  meters  with  fittings - URGENT REQ,MAT7286628,981,MT,N/A,L&T,Standard specification as per IS/ISO. Dimension: 90mm. Material: Brass.
BHEL,TRANSFORMER OIL EHV GRADE IN 209 LTR BARREL,MAT1156079,3977,MT,N/A,L&T,Standard specification as per IS/ISO. Dimension: 250mm. Material: Rubber.
Coal India (BCCL),SUBMERSIBLE  PUMP  5HP  3  PHASE  415V - URGENT REQ,MAT8605492,1861,KGS,PN-7828-X,FAG,Standard specification as per IS/ISO. Dimension: 31mm. Material: Rubber.
Coal India (BCCL),high tensile bolt m24 x 100mm grade 8.8 galvanized,MAT3376957,3822,MTR,PN-8007-X,UNBRAKO,Standard specification as per IS/ISO. Dimension: 126mm. Material: Alloy Steel.
NTPC,m.s. hex bolt & nut m16x65mm long is:1363,MAT6127847,1358,KGS,PN-5965-A,SKF,Standard specification as per IS/ISO. Dimension: 18mm. Material: MS.
Coal India (Central Coalfields Limited),pressure  gauge  0-100  kg/cm2  150mm  dial  bottom  entry **OEM ONLY**,MAT8091061,4225,PAIR,PN-6417-B,PHILIPS,Standard specification as per IS/ISO. Dimension: 54mm. Material: SS304.
Coal India (BCCL),taper  roller  bearing  32218  j2/q **OEM ONLY**,MAT6339364,4681,LTR,PN-5560-Z,TVS,Standard specification as per IS/ISO. Dimension: 255mm. Material: Rubber.
Coal India (Central Coalfields Limited),bearing ball radial 6205 2rs skf/fag make only,MAT6074508,2826,BTL,N/A,CUMMINS,Standard specification as per IS/ISO. Dimension: 239mm. Material: MS.
IOCL,LUBRICATING  OIL  SERVO  SYSTEM  68  IN  210  LTR  DRUM (BOQ1 REF),MAT7318726,2247,LTR,PN-9471-Y,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 49mm. Material: Alloy Steel.
Coal India (Central Coalfields Limited),LUBRICATING OIL SERVO SYSTEM 68 IN 210 LTR DRUM,MAT1710191,360,ROLL,PN-9769-A,TVS,Standard specification as per IS/ISO. Dimension: 219mm. Material: SS304.
ONGC,INDUSTRIAL  HEATER  2KW  230V  TUBULAR  TYPE **OEM ONLY**,MAT6562549,4496,BTL,PN-1147-A,OEM,Standard specification as per IS/ISO. Dimension: 14mm. Material: MS.
HEC,lubricating  oil  servo  system  68  in  210  ltr  drum - URGENT REQ,MAT2086647,3683,NOS,PN-3895-A,KOMATSU,Standard specification as per IS/ISO. Dimension: 81mm. Material: Rubber.
ONGC,ss tube 1/2 inch od x 1.2mm thk astm a213,MAT8492597,4517,MT,PN-2813-B,PHILIPS,Standard specification as per IS/ISO. Dimension: 10mm. Material: SS304.
IOCL,TRANSFORMER OIL EHV GRADE IN 209 LTR BARREL,MAT8835196,4266,MT,N/A,KOMATSU,Standard specification as per IS/ISO. Dimension: 105mm. Material: SS304.
BHEL,taper roller bearing 32218 j2/q,MAT5004563,2950,LTR,PN-7927-A,KOMATSU,Standard specification as per IS/ISO. Dimension: 240mm. Material: Brass.
ONGC,MCB 4 POLE 63 AMP C CURVE 10KA,MAT5075783,4213,ROLL,PN-4362-X,SKF,Standard specification as per IS/ISO. Dimension: 201mm. Material: Alloy Steel.
GAIL,AIR  FILTER  ELEMENT  OUTER  &  INNER  FOR  BEML  DUMPER (BOQ1 REF),MAT8303930,4052,PAIR,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 86mm. Material: MS.
ONGC,O-RING P/N 87654321 FOR KOMATSU DUMPER HEMM SPARE,MAT5792136,684,LTR,PN-3916-Z,BOSCH,Standard specification as per IS/ISO. Dimension: 258mm. Material: SS316.
NTPC,welding electrode e7018 3.15mm x 450mm,MAT5948935,443,MTR,PN-7318-A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 226mm. Material: SS316.
ONGC,seal  kit  for  hydraulic  cylinder  beml  dozer   REQ AS PER ATTACHED SPEC,MAT3907365,4261,PAIR,PN-6167-Z,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 68mm. Material: SS304.
NTPC,SUBMERSIBLE PUMP 5HP 3 PHASE 415V,MAT8340319,1890,SET,PN-9916-A,L&T,Standard specification as per IS/ISO. Dimension: 187mm. Material: SS316.
IOCL,SS  TUBE  1/2  INCH  OD  X  1.2MM  THK  ASTM  A213 - URGENT REQ,MAT8451611,301,KGS,PN-8035-Y,L&T,Standard specification as per IS/ISO. Dimension: 183mm. Material: MS.
GAIL,taper roller bearing 32218 j2/q,MAT3477526,1590,MT,N/A,SIEMENS,Standard specification as per IS/ISO. Dimension: 195mm. Material: SS316.
Coal India (Central Coalfields Limited),oxygen  gas  cylinder  refill  industrial  grade - URGENT REQ,MAT4015810,4298,BTL,PN-8799-Y,CUMMINS,Standard specification as per IS/ISO. Dimension: 108mm. Material: Brass.
Coal India (BCCL),LED FLOOD LIGHT 200W IP66 6500K CG/PHILIPS,MAT5485012,3599,SET,PN-1524-Z,ESCO,Standard specification as per IS/ISO. Dimension: 232mm. Material: MS.
BHEL,hydraulic hose 1 inch r2 10 meters with fittings,MAT7427883,2967,KGS,PN-7057-Z,L&T,Standard specification as per IS/ISO. Dimension: 107mm. Material: SS316.
NTPC,BULL DOZER TRACK CHAIN ASSEMBLY 39 LINKS,MAT4898614,3561,BTL,PN-7241-Y,SKF,Standard specification as per IS/ISO. Dimension: 21mm. Material: SS304.
NTPC,BEARING  BALL  RADIAL  6205  2RS  SKF/FAG  MAKE  ONLY **OEM ONLY**,MAT9851862,28,BTL,N/A,CUMMINS,Standard specification as per IS/ISO. Dimension: 262mm. Material: SS304.
NTPC,safety shoe mens black size 9 leather ce approved,MAT7266184,3446,LTR,PN-9608-Y,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 12mm. Material: SS316.
Coal India (Central Coalfields Limited),diesel exhaust fluid def aus 32,MAT2097171,593,MT,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 112mm. Material: Rubber.
Coal India (Central Coalfields Limited),o-ring  p/n  87654321  for  komatsu  dumper  hemm  spare - URGENT REQ,MAT5422331,1386,LTR,N/A,PHILIPS,Standard specification as per IS/ISO. Dimension: 15mm. Material: SS316.
Coal India (Central Coalfields Limited),air  filter  element  outer  &  inner  for  beml  dumper   REQ AS PER ATTACHED SPEC,MAT5796120,4311,BTL,PN-4013-X,PHILIPS,Standard specification as per IS/ISO. Dimension: 144mm. Material: Brass.
Coal India (Central Coalfields Limited),mcb 4 pole 63 amp c curve 10ka,MAT2740359,2414,NOS,PN-7015-A,SKF,Standard specification as per IS/ISO. Dimension: 197mm. Material: Brass.
Coal India (BCCL),LUBRICATING  OIL  SERVO  SYSTEM  68  IN  210  LTR  DRUM (BOQ1 REF),MAT2800973,4221,MTR,PN-6536-A,TVS,Standard specification as per IS/ISO. Dimension: 177mm. Material: MS.
ONGC,M.S. HEX BOLT & NUT M16X65MM LONG IS:1363,MAT7241569,3557,LTR,N/A,TVS,Standard specification as per IS/ISO. Dimension: 186mm. Material: SS304.
Coal India (BCCL),LED FLOOD LIGHT 200W IP66 6500K CG/PHILIPS,MAT2590140,3598,NOS,PN-7897-Z,SIEMENS,Standard specification as per IS/ISO. Dimension: 23mm. Material: SS304.
HEC,transformer oil ehv grade in 209 ltr barrel,MAT3455034,1385,KGS,PN-8383-A,PIX,Standard specification as per IS/ISO. Dimension: 89mm. Material: Brass.
Coal India (BCCL),CONTACTOR 3 POLE 400V 63A L&T/SIEMENS,MAT2279505,3653,ROLL,PN-3028-B,L&T,Standard specification as per IS/ISO. Dimension: 39mm. Material: Brass.
HEC,RUBBER CONVEYOR BELT 800MM WIDE EP 400/3,MAT8342613,3207,NOS,PN-2666-B,CG,Standard specification as per IS/ISO. Dimension: 290mm. Material: MS.
GAIL,o-ring p/n 87654321 for komatsu dumper hemm spare,MAT4614957,558,BTL,PN-7457-A,L&T,Standard specification as per IS/ISO. Dimension: 33mm. Material: Brass.
IOCL,taper roller bearing 32218 j2/q,MAT8701744,887,LTR,N/A,ABB,Standard specification as per IS/ISO. Dimension: 115mm. Material: Alloy Steel.
NTPC,lubricating  oil  servo  system  68  in  210  ltr  drum **OEM ONLY**,MAT8836214,1056,MTR,PN-3642-B,L&T,Standard specification as per IS/ISO. Dimension: 148mm. Material: Alloy Steel.
ONGC,CONTACTOR 3 POLE 400V 63A L&T/SIEMENS,MAT5183492,2999,BTL,PN-6596-B,SIEMENS,Standard specification as per IS/ISO. Dimension: 283mm. Material: Rubber.
Coal India (BCCL),BULL  DOZER  TRACK  CHAIN  ASSEMBLY  39  LINKS   REQ AS PER ATTACHED SPEC,MAT7986841,2995,NOS,PN-7078-X,PHILIPS,Standard specification as per IS/ISO. Dimension: 12mm. Material: Brass.
BHEL,roller bearing spherical 22316 ek c3,MAT1549937,274,MT,N/A,CG,Standard specification as per IS/ISO. Dimension: 106mm. Material: SS316.
IOCL,MCB 4 POLE 63 AMP C CURVE 10KA,MAT3503674,787,NOS,PN-8340-X,CUMMINS,Standard specification as per IS/ISO. Dimension: 79mm. Material: MS.
NTPC,diesel exhaust fluid def aus 32,MAT9405249,901,KGS,PN-9409-B,ABB,Standard specification as per IS/ISO. Dimension: 282mm. Material: MS.
Coal India (BCCL),lubricating  oil  servo  system  68  in  210  ltr  drum **OEM ONLY**,MAT2886455,3498,MTR,N/A,BEML,Standard specification as per IS/ISO. Dimension: 264mm. Material: SS304.
BHEL,safety shoe mens black size 9 leather ce approved,MAT2565933,3931,SET,PN-5558-Z,OEM,Standard specification as per IS/ISO. Dimension: 233mm. Material: MS.
GAIL,FLANGE  GASKET  150#  100MM  NB  SPIRAL  WOUND  NON  ASBESTOS (BOQ1 REF),MAT2603334,2305,KGS,PN-9805-A,PIX,Standard specification as per IS/ISO. Dimension: 93mm. Material: SS316.
BHEL,contactor 3 pole 400v 63a l&t/siemens,MAT1161729,816,KGS,PN-4108-Y,SIEMENS,Standard specification as per IS/ISO. Dimension: 193mm. Material: Alloy Steel.
IOCL,welding electrode e7018 3.15mm x 450mm,MAT4526253,609,PAIR,PN-8744-A,UNBRAKO,Standard specification as per IS/ISO. Dimension: 298mm. Material: Alloy Steel.
BHEL,mcb  4  pole  63  amp  c  curve  10ka - URGENT REQ,MAT9263061,4841,KGS,PN-3058-B,CUMMINS,Standard specification as per IS/ISO. Dimension: 214mm. Material: Rubber.
